keyword,tier,language,notes
autonomous delivery,1,en,Core topic - autonomous delivery systems
last mile delivery,1,en,Last mile logistics focus
grocery automation,1,en,Automated grocery and retail systems
retail innovation,1,en,Innovation in retail sector
delivery robots,1,en,Robotic delivery systems
autonomous vehicles retail,1,en,Self-driving vehicles for retail
retail technology,2,en,General retail technology
supply chain automation,2,en,Automated supply chain processes
e-grocery,2,en,Online grocery sector
logistics innovation,2,en,Innovation in logistics
warehouse automation,2,en,Automated warehouse systems
delivery drones,2,en,Drone-based delivery
robotics retail,2,en,Robotics applications in retail
retail,3,en,General retail context
grocery,3,en,Grocery sector context
supermarket,3,en,Supermarket context
food delivery,3,en,Food delivery services
e-commerce,3,en,E-commerce context
innovation,3,en,General innovation context
